mpg,cylinders,displacement,horsepower,weight,acceleration,model year
18,8,307,130,3504,12,70
15,8,350,165,3693,11.5,70
18,8,318,150,3436,11,70
16,8,304,150,3433,12,70
17,8,302,140,3449,10.5,70
15,8,429,198,4341,10,70
14,8,454,220,4354,9,70
14,8,440,215,4312,8.5,70
14,8,455,225,4425,10,70
15,8,390,190,3850,8.5,70
15,8,383,170,3563,10,70
14,8,340,160,3609,8,70
15,8,400,150,3761,9.5,70
14,8,455,225,3086,10,70
24,4,113,95,2372,15,70
22,6,198,95,2833,15.5,70
18,6,199,97,2774,15.5,70
21,6,200,85,2587,16,70
27,4,97,88,2130,14.5,70
26,4,97,46,1835,20.5,70
25,4,110,87,2672,17.5,70
24,4,107,90,2430,14.5,70
25,4,104,95,2375,17.5,70
26,4,121,113,2234,12.5,70
21,6,199,90,2648,15,70
10,8,360,215,4615,14,70
10,8,307,200,4376,15,70
11,8,318,210,4382,13.5,70
9,8,304,193,4732,18.5,70
27,4,97,88,2130,14.5,71
28,4,140,90,2264,15.5,71
25,4,113,95,2228,14,71
25,4,98,?,2046,19,71
19,6,232,100,2634,13,71
16,6,225,105,3439,15.5,71
17,6,250,100,3329,15.5,71
19,6,250,88,3302,15.5,71
18,6,232,100,3288,15.5,71
14,8,350,165,4209,12,71
14,8,400,175,4464,11.5,71
14,8,351,153,4154,13.5,71
14,8,318,150,4096,13,71
12,8,383,180,4955,11.5,71
13,8,400,170,4746,12,71
13,8,400,175,5140,12,71
18,6,258,110,2962,13.5,71
22,4,140,72,2408,19,71
19,6,250,100,3282,15,71
18,6,250,88,3139,14.5,71
